a's	-apple
adjunct	- điều thêm vào, cái phụ vào; vật phụ thuộc- người phụ việc, phụ tá- (ngôn ngữ học) định ngữ; bổ ngữ- (triết học) (thuộc) tính không bản chất- phụ vào; phụ thuộc- phụ, phụ tá
adjunct professor	- (từ Mỹ,nghĩa Mỹ) trợ giáo
adjunction	- sự thêm vào, sự phụ vào
adjunctive	- thêm, phụ vào; phụ thuộc
adjuration	- lời thề, lời tuyên thệ- sự khẩn nài, sự van nài
adjure	- bắt thề, bắt tuyên thệ- khẩn nài, van nài
adjust	- sửa lại cho đúng, điều chỉnh- lắp (các bộ phận cho ăn khớp)- chỉnh lý, làm cho thích hợp- hoà giải, dàn xếp (mối bất hoà, cuộc phân tranh...)
adjustable	- có thể điều chỉnh được- có thể làm cho thích hợp- có thể hoà giải được, có thể giàn xếp được (mối bất hoà, cuộc phân tranh...)
adjuster	- máy điều chỉnh- thợ lắp máy, thợ lắp ráp
adjustment	- sự sửa lại cho đúng, sự điều chỉnh, sự chỉnh lý- sự hoà giải, sự dàn xếp (mối bất hoà, cuộc phân tranh...)
adjutage	- ống vòi (ống nhỏ lắp vào miệng vòi máy nước để lấy nước)
adjutancy	- (quân sự) chức sĩ quan phụ tá; nhiệm vụ sĩ quan phụ tá
adjutant	- người phụ tá- (quân sự) sĩ quan phụ tá- (động vật học) cò già (Ân độ) ((cũng) adjutant bird,  adjutant crane,  adjutant stork)
adjuvant	- giúp đỡ, phụ tá, giúp ích- người giúp đỡ, người phụ tá; vật giúp ích
adman	- (từ Mỹ,nghĩa Mỹ) người chuyên viết quảng cáo, người chuyên vẽ quảng cáo, người làm nghề quảng cáo (hàng...)
admass	- quần chúng dễ bị thủ đoạn quảng cáo ảnh hưởng
admeasure	- quy định từng phần; chia phần ra
admeasurement	- sự quy định từng phần, sự chia phần
administer	- trông nom, quản lý; cai quản, cai trị- thi hành, thực hiện- làm lễ (tuyên thệ) cho (ai) tuyên thệ- đánh, giáng cho (đòn...)- phân tán, phân phối- cung cấp cho, cấp cho, cho (ai cái gì)- trông nom, quản lý; cai quản, cai trị- cung cấp, góp phần vào
administrate	- (từ Mỹ,nghĩa Mỹ) trông nom, quản lý; cai quản, cai trị
administration	- sự trông nom, sự quản lý; sự cai quản, sự cai trị- chính phủ, chính quyền- sự thi hành; việc áp dụng- sự cho uống (thuốc)- sự làm lễ (tuyên thệ); sự cho ai (tuyên thệ)- sự phân phối, sự phân phát (của cứu tế...)- (pháp lý) sự quản lý tài sản (của vị thành niên hoặc người đã chết)
administrative	- (thuộc) hành chính, (thuộc) quản trị- (thuộc) chính quyền, (thuộc) nhà nước
administrator	- người quản lý- người cầm quyền hành chính, người cầm quyền cai trị- (pháp lý) người quản lý tài sản (cho vị thành niên hoặc người đã chết)
administratorship	- chức vụ quản lý- chức vụ người cầm quyền cai trị- (pháp lý) chức vụ quản lý tài sản (cho vị thành niên hoặc người đã chết)
administratrices	- bà quản lý- người đàn bà cầm quyền hành chính, người đàn bà cầm quyền cai trị- bà quản lý tài sản (cho vị thành niên hoặc người đã chết)
administratrix	- bà quản lý- người đàn bà cầm quyền hành chính, người đàn bà cầm quyền cai trị- bà quản lý tài sản (cho vị thành niên hoặc người đã chết)
admirability	- tính đáng phục, tính đáng khâm phục, tính đáng ca tụng; tính đáng hâm mộ, tính ngưỡng mộ- tính tuyệt diệu, tính tuyệt vời
admirable	- đáng phục, đáng khâm phục, đáng ca tụng; đáng hâm mộ, đáng ngưỡng mộ- tuyệt diệu, tuyệt vời
admiral	- đô đốc- người chỉ huy hạm đội- người chỉ huy đoàn tàu đánh cá- tàu rồng, kỳ hạm (tàu chở thuỷ sư đô đốc)- (động vật học) bướm giáp
admiralship	- chức đô đốc
admiralty	- (Anh) bộ hải quân- chức đô đốc- chủ quyền trên mặt biển
admiration	- sự ngắm nhìn một cách vui thích- sự khâm phục, sự thán phục, sự cảm phục, sự hâm mộ, sự ngưỡng mộ; sự ca tụng- người được khâm phục, người được hâm mộ, người được ca tụng; vật được hâm mô, vật được ca tụng- (ngôn ngữ học) sự cảm thán- (từ cổ,nghĩa cổ) sự lấy làm lạ; sự ngạc nhiên
admire	- ngắm nhìn một cách vui thích- khâm phục, ((thông tục)) thán phục, cảm phục; hâm mộ, ngưỡng mộ; khen ngợi, ca tụng- say mê, mê- (từ cổ,nghĩa cổ) lấy làm lạ, lấy làm ngạc nhiên- (từ Mỹ,nghĩa Mỹ),  (thông tục) ao ước, khao khát (làm gì)
admirer	- người khâm phục, người cảm phục, người thán phục; người hâm mộ, người ngưỡng mộ; người ca tụng- người say mê (một người đàn bà)
admiring	- khâm phục, cảm phục, thán phục; ngưỡng mộ
admissibility	- tính có thể chấp nhận được, tính có thể thừa nhận được- tính có thể nhận; tính có thể thu nạp; tính có thể kết nạp
admissible	- có thể chấp nhận, có thể thừa nhận- có thể nhận, có thể thu nạp (vào chức vụ gì...); có thể kết nạp
admission	- sự nhận vào, sự thu nạp vào; sự kết nạp- sự cho vào cửa, sự cho vào- tiền vào cửa, tiền nhập học- sự nhận, sự thú nhận- (định ngữ) (kỹ thuật) nạp
admit	- nhận vào, cho vào; kết nạp (vào nơi nào, tổ chức nào...); cho hưởng (quyền lợi...)- chứa được, nhận được, có đủ chỗ cho- nhận, thừa nhận; thú nhận- (kỹ thuật) nạp- (+ of) có chỗ cho, có- nhận, thừa nhận
admittable	- có thể để cho vào (nơi nào)
admittance	- sự cho vào, sự để cho vào; sự nhận vào; sự thu nạp- lối đi vào- (vật lý) sự dẫn nạp; độ dẫn nạp
admittedly	- phải nhận, phải thừa nhận, phải thú nhận
admix	- trộn lẫn, hỗn hợp
admixture	- sự trộn lẫn, sự hỗn hợp- vật lộn
admonish	- khiển trách, quở mắng, la rầy- răn bảo, khuyên răn, khuyên nhủ; động viên- (+ of) cảnh cáo; báo cho biết trước- (+ of) nhắc, nhắc nhở
admonishment	- sự khiển trách, sự quở mắng, sự la rầy- sự răn bảo lời khuyên răn, lời khuyên nhủ, lời động viên- sự cảnh cáo, lời cảnh cáo- sự nhắc nhở, lời nhắc nhở
admonition	- sự khiển trách, sự quở mắng, sự la rầy- sự răn bảo lời khuyên răn, lời khuyên nhủ, lời động viên- sự cảnh cáo, lời cảnh cáo- sự nhắc nhở, lời nhắc nhở
admonitory	- khiển trách, quở mắng, la rầy- răn bảo, khuyên răn, khuyên nhủ; động viên- cảnh cáo- nhắc nhở
adnate	- (sinh vật học) hợp sinh
adnoun	- (ngôn ngữ học) tính từ, danh tính từ
ado	- việc làm, công việc- sự khó nhọc, sự khó khăn, công sức- sự rối rít, sự hối hả ngược xuôi
adobe	- gạch sống (phơi nắng, không nung)
adolescence	- thời thanh niên
adolescency	- thời thanh niên
adolescent	- đang tuổi thanh niên, trẻ- người thanh niên
adonis	- (thần thoại,thần học) A-đô-nít (người yêu của thần Vệ nữ)- người thanh niên đẹp trai- (thực vật học) cỏ phúc thọ- (động vật học) bướm ađônít
adonize	- làm dáng, làm ra vẻ người đẹp trai ((cũng) to adonize oneself)
adopt	- nhận làm con nuôi; nhận làm bố mẹ nuôi- theo, làm theo- chọn (nghề, người cho một chức vị)- (từ Mỹ,nghĩa Mỹ) chấp nhận và thực hiện
adoptability	- tính có thể nhận làm con nuôi; tính có thể nhận làm bố mẹ nuôi- tính có thể theo được, tính có, thể làm theo- tính có thể chọn được- (từ Mỹ,nghĩa Mỹ) tính có thể chấp nhận và thực hiện
adoptable	- có thể nhận làm con nuôi; có thể nhận làm bố mẹ nuôi- có thể theo được, có thể làm theo- có thể chọn được- (từ Mỹ,nghĩa Mỹ) có thể chấp nhận và thực hiện
adoptee	- con nuôi
adopter	- người nhận nuôi
adoption	- sự nhận làm con nuôi; sự nhận làm bố mẹ nuôi- sự theo, sự làm theo (phương pháp...)- sự chọn (nghề, người cho một chức vị)- (từ Mỹ,nghĩa Mỹ) sự chấp nhận và thực hiện (lời đề nghị...)
adoptive	- nuôi; nhận nuôi
adorability	- tính đáng yêu, tính đáng quý mến, tính đáng yêu, tính đáng quý mến- (thơ ca) tính đáng tôn sùng, tính đáng sùng bái, tính đáng tôn thờ
adorable	- đáng kính yêu, đáng quý mến, đáng yêu- (thơ ca) đáng tôn sùng, đáng sùng bái, đáng tôn thờ
adorableness	- tính đáng yêu, tính đáng quý mến, tính đáng yêu, tính đáng quý mến- (thơ ca) tính đáng tôn sùng, tính đáng sùng bái, tính đáng tôn thờ
adoration	- sự kính yêu, sự quý mến- sự mê thích, sự hết sức yêu chuộng, sự yêu thiết tha- (thơ ca) sự tôn sùng, sự sùng bái, sự tôn thờ
adore	- kính yêu, quý mến- mê, thích, hết sức yêu chuộng, yêu thiết tha- (thơ ca) tôn sùng, sùng bái, tôn thờ
adorer	- người hâm mộ, người yêu chuộng, người yêu- (thơ ca) người tôn sùng, người sùng bái, người tôn thờ
adorn	- tô điểm, trang điểm; trang trí, trang hoàng
adornment	- sự tô điểm, sự trang trí, sự trang hoàng- đồ trang điểm; đồ trang trí
adown	- (từ cổ,nghĩa cổ); (thơ ca) ở dưới, xuống, xuống dưới
adrenal	- (giải phẫu) trên thận, thượng thận- (giải phẫu) tuyến trên thận, tuyến thượng thận
adrenalin	- (y học) Adrenalin
adrift	- lênh đênh trôi giạt, phiêu bạt ((nghĩa đen) & (nghĩa bóng))- (hàng hải) không buộc- lênh đênh, trôi giạt, phiêu bạt ((nghĩa đen) & (nghĩa bóng))
adroit	- khéo léo, khéo tay
adroitness	- sự khéo léo, sự khéo tay
adscititious	- phụ vào, thêm vào, bổ sung
adsorb	- (hoá học) hút bám
adsorbate	- (hoá học) chất bị hút bám
adsorbent	- (hoá học) hút bám
adsorber	- (hoá học) máy hút bám
adsorption	- (hoá học) sự hút bám
adulate	- nịnh hót, nịnh nọt, bợ đỡ
adulation	- sự nịnh hót, sự nịnh nọt, sự bợ đỡ
adulator	- kẻ nịnh hót, kẻ nịnh nọt, kẻ bợ đỡ
adulatory	- nịnh hót, nịnh nọt, bợ đỡ
adult	- người lớn, người đã trưởng thành- trưởng thành
adulterant	- để làm giả- chất để làm giả
adulterate	- có pha (rượu)- giả, giả mạo (vật)- ngoại tình, thông dâm- pha, pha trộn- àm giả mạo
adulteration	- sự pha, sự pha trộn- vật bị pha trộn- sự làm giả, sự giả mạo (tiền...)
adulterer	- người đàn ông ngoại tình, người đàn ông thông dâm
adulteress	- người đàn bà ngoại tình, người đàn bà thông dâm
adulterine	- do ngoại tình mà đẻ ra- giả mạo, giả- bất chính, không hợp pháp
adulterous	- ngoại tình, thông dâm
adultery	- tội ngoại tình, tội thông dâm
adulthood	- tuổi khôn lớn, tuổi trưởng thành
adumbral	- nhiều bóng râm
adumbrate	- phác hoạ- cho biết lờ mờ- làm cho biết trước, báo trước bằng điềm- che tối, làm cho mờ tối, toả bóng xuống
adumbration	- sự phác hoạ, bản phác hoạ- sự cho biết, lờ mờ; hình ảnh lờ mờ- sự báo trước, điềm báo trước- sự che chở, sự toả bóng, bóng tối, bóng râm
adust	- cháy khô, khô nứt ra (vì ánh mặt trời...)- buồn bã, u sầu, rầu rĩ (tính tình)
advance	- sự tiến lên, sự tiến tới, sự tiến bộ- sự đề bạt, sự thăng, chức- sự tăng giá- tiền đặt trước, tiền trả trước- tiền cho vay- sự theo đuổi, sự làm thân- (điện học) sự sớm pha- bản (sách, tài liệu, ...) đưa (cho tác giả...) trước khi xuất bản- trước, sớm- trước, đi trước- đưa lên, đưa ra phía trước- đề xuất, đưa ra- đề bạt, thăng chức (cho ai)- làm cho tiến bộ, làm tiến mau (khoa học...)- thúc đẩy (sự việc...)- tăng, tăng lên- trả trước, đặt trước- cho vay (tiền)- tiến lên, tiến tới, tiến bộ- tăng, tăng lên
advance-guard	- (quân sự) quân tiền phong
advanced	- tiên tiến, tiến bộ, cấp tiến- cao, cấp cao
advancement	- sự tiến lên, sự tiến tới, sự tiến bộ; sự thúc đẩy, sự làm cho tiến lên- sự thăng chức, đề bạt- (pháp lý) tiền (người kế thừa được) nhận trước
advantage	- sự thuận lợi, hoàn cảnh thuận lợi; mối lợi- thế lợi- bất ngờ chộp được ai, thình lình chộp được ai- đem lợi ích cho, có lợi cho, mang thuận lợi cho- giúp cho; thúc đẩy, làm cho tiến lên
advantageous	- có lợi, thuận lợi
advantageousness	- tính có lợi, tính thuận lợi
advent	- sự đến, sự tới (của một sự việc gì quan trọng)- Advent (tôn giáo) sự giáng sinh của Chúa Giêxu- Advent (tôn giáo) kỳ trông đợi (bốn tuần lễ trước ngày giáng sinh của Chúa)
adventitious	- ngẫu nhiên, tình cờ- ngoại lai- (pháp lý) không do thừa kế trực tiếp- (thực vật học) tự sinh, mọc tự nhiên (cây...)- (thực vật học) bất định, không phát sinh ở nơi thông thường
adventitiousness	- tính ngẫu nhiên, tính tình cờ- tính chất ngoại lai
adventure	- phiêu lưu, mạo hiểm, liều- dám đi, dám đến (nơi nào...)- dám tiến hành (cuộc kinh doanh...)- sự phiêu lưu, sự mạo hiểm; việc làm mạo hiểm, việc làm táo bạo- sự nguy hiểm, sự hiểm nghèo- sự việc bất ngờ- sự may rủi, sự tình cờ- (thương nghiệp) sự đầu cơ
adventurer	- người phiêu lưu, người mạo hiểm, người thích phiêu lưu mạo hiểm- (thương nghiệp) người đầu cơ- kẻ đại bợm, kẻ gian hùng- kẻ sẵn sàng sung vào quân đội đánh thuê (cho bất cứ nước nào để kiếm tiền)
adventuresome	- (từ hiếm,nghĩa hiếm) (như) adventurous
adventuress	- người đàn bà thích phiêu lưu mạo hiểm- mụ đầu cơ- mụ đại bợm, mụ gian hùng
adventurism	- chủ nghĩa phiêu lưu
adventurous	- thích phiêu lưu, thích mạo hiểm, phiêu lưu, mạo hiểm- liều lĩnh
adventurousness	- tính phiêu lưu, tính mạo hiểm- tính liều lĩnh
adverb	- (ngôn ngữ học) phó từ
adverbial	- (ngôn ngữ học) (thuộc) phó từ; có tính chất phó từ
adversary	- kẻ địch, kẻ thù; đối phương, đối thủ
adversative	- (ngôn ngữ học) đối lập
adverse	- đối địch, thù địch, nghịch lại, chống đối- bất lợi, có hại- ngược- bên kia, đối diện
adversity	- sự bất hạnh; vận đen, vận rủi; cảnh nghịch, vận nghịch- tai hoạ, tai ương
advert	- ám chỉ (nói hoặc viết); nói đến, kể đến- tai hoạ, tai ương
advertence	- sự chú ý, sự lưu ý
advertency	- sự chú ý, sự lưu ý
advertise	- báo cho biết, báo cho ai biết trước- quảng cáo (hàng)- đăng báo; yết thị; thông báo (cho mọi người biết)
advertisement	- sự quảng cáo; bài quảng cáo (trên báo, trên đài...)- tờ quảng cáo; tờ yết thị; tờ thông báo (dán trên tường...)- cột quảng cáo, mục quảng cáo
advertiser	- người báo cho biết trước- người quảng cáo; báo đăng quảng cáo; tờ quảng cáo
advertize	- báo cho biết, báo cho ai biết trước- quảng cáo (hàng)- đăng báo; yết thị; thông báo (cho mọi người biết)
advice	- lời khuyên, lời chỉ bảo- ((thường) số nhiều) tin tức- theo những tin tức cuối cùng chúng tôi nhận được- (số nhiều) (thương nghiệp) thư thông báo ((cũng) letter of advice)
advisability	- tính chất nên, tính chất thích hợp, tính chất đáng theo- tính chất khôn, tính chất khôn ngoan
advisable	- nên, thích hợp, đáng theo- khôn, khôn ngoan
advisableness	- tính chất nên, tính chất thích hợp, tính chất đáng theo- tính chất khôn, tính chất khôn ngoan
advise	- khuyên, khuyên bảo, răn bảo- (thương nghiệp) báo cho biết- hỏi ý kiến
advised	- am hiểu, hiểu biết- đúng, đúng đắn, chí lý- có suy nghĩ thận trọng
advisedly	- có suy nghĩ chín chắn, thận trọng
adviser	- người khuyên bảo, người chỉ bảo, cố vấn
advisor	- người khuyên bảo, người chỉ bảo, cố vấn
advisory	- để hỏi, để xin ý kiến; cho ý kiến, cố vấn
advocacy	- nhiệm vụ luật sư- lời biện hộ của luật sư; sự bào chữa (cho ai)- sự ủng hộ tích cực (một sự nghiệp)
advocate	- người biện hộ, người bào chữa, người bênh vực; luật sư, thầy cãi- người chủ trương; người tán thành, người ủng hộ- biện hộ, bào chữa- chủ trương; tán thành, ủng hộ
adynamia	- (y học) chứng mệt lử; sự kiệt sức
adynamic	- (y học) mệt lử, kiệt sức
adyta	- chính điện (ở giáo đường)- thâm cung; buồng riêng
adytum	- chính điện (ở giáo đường)- thâm cung; buồng riêng
adz	- rìu lưỡi vòm- đẽo bằng rìu lưỡi vòm
adze	- rìu lưỡi vòm- đẽo bằng rìu lưỡi vòm
aeger	- giấy chứng nhận ốm (cho học sinh các trường đại học Anh)
aegis	- sự che chở, sự bảo hộ, sự bảo vệ
aegrotat	- giấy chứng nhận ốm nặng không dự thi được (của học sinh các trường đại học Anh)
aelotropic	- (vật lý) dị hướng
aelotropy	- (vật lý) tính dị hướng
aeon	- thời đại, niên kỷ- sự vĩnh viễn; khoảng thời gian vô tận
aerate	- làm thông khí, quạt gió- cho hơi vào, cho khí cacbonic vào (nước uống, đồ giải khát...)- (y học) làm cho (máu) lấy oxy (qua hô hấp)- làm cho hả mùi (sữa) (bằng cách rót thành lớp mỏng)
aeration	- sự làm thông, sự quạt gió- cho hơi vào, cho khí cacbonic vào- (y học) sự làm cho (máu) lấy oxy- làm cho hả mùi (sữa)
aerial	- ở trên trời, trên không- (thuộc) không khí; nhẹ như không khí- không thực, tưởng tượng- rađiô dây trời, dây anten
aerie	- tổ chim làm tít trên cao (của chim săn mồi)- ổ trứng ấp (của chim săn mồi)- nhà làm trên đỉnh núi
aeriform	- dạng hơi- không thực
aerify	- làm hoá ra thể hơi, khí hoá
aero-engine	- động cơ máy bay
aerobatics	- sự nhào lộn trên không (của máy bay)
aerobe	- vi sinh vật ưa khí
aerobiology	- khoa sinh vật không khí (nghiên cứu các vi sinh vật và bào tử trong không khí)
aerocamera	- máy ảnh chụp trên không (chụp từ máy bay)
aerocarrier	- tàu sân bay
aerodrome	- sân bay
aerodynamic	- khí động lực
aerodynamical	- khí động lực
aerodynamics	- khí động lực học
aerodyne	- máy bay nặng hơn không khí
aeroembolism	- (y học) bệnh khí ép
aerofoil	- cánh máy bay
aerogram	- bức điện rađiô
aerogun	- súng gắn trên máy bay
aerolite	- đá trời, thiên thạch
aerology	- (vật lý) môn quyển khí- (khí tượng) môn khí tượng cao không
aeromechanics	- cơ học chất khí
aerometer	- cái đo tỷ trọng khí
aeronaut	- nhà hàng không; người lái khí cầu
aeronautic	- (thuộc) hàng không
aeronautical	- (thuộc) hàng không
aeronautics	- hàng không học
aeronavigation	- thuật hàng không
aerophotograph	- ảnh chụp từ máy bay
aerophotography	- sự chụp ảnh từ máy bay; phép chụp ảnh từ máy bay
aeroplane	- máy bay, tàu bay
aeroport	- sân bay lớn
aerostat	- khí cầu
aerostatics	- (số nhiều dùng như số ít) khí cầu học- khí tĩnh học
aerotechnics	- kỹ thuật hàng không
aeruginous	- có tính chất gỉ đồng; giống màu gỉ đồng
aery	- tổ chim làm tít trên cao (của chim săn mồi)- ổ trứng ấp (của chim săn mồi)- nhà làm trên đỉnh núi
aesthete	- nhà thẩm mỹ
aesthetic	- (thuộc) mỹ học, thẩm mỹ- có óc thẩm mỹ, có khiếu thẩm mỹ; hợp với nguyên tắc thẩm mỹ
aesthetically	- có thẩm mỹ- về mặt thẩm mỹ
aesthetics	- mỹ học
aestho-physiology	- sinh lý học giác quan
aestival	- (thuộc) mùa hạ; sinh vào mùa hạ
aestivate	- (động vật học) ngủ hè
aestivation	- (động vật học) sự ngủ hè
aetiology	- thuyết nguyên nhân- (y học) khoa nguyên nhân bệnh
afar	- xa, ở xa, cách xa
affability	- sự lịch sự, sự nhã nhặn, sự hoà nhã; sự niềm nở, sự ân cần
affable	- lịch sự, nhã nhặn, hoà nhã; niềm nở, ân cần
affableness	- sự lịch sự, sự nhã nhặn, sự hoà nhã; sự niềm nở, sự ân cần
affair	- việc- (số nhiều) công việc, việc làm, sự vụ- chuyện tình, chuyện yêu đương- chuyện vấn đề- việc buôn bán; việc giao thiệp- (thông tục) cái, thứ, vật, đồ, món, chuyện- (quân sự) trận đánh nhỏ
affect	- làm ảnh hưởng đến, làm tác động đến; chạm đến- làm xúc động, làm cảm động, làm mủi lòng- làm nhiễm phải, làm mắc (bệnh)- (từ cổ,nghĩa cổ) (thường) dạng bị động- bổ nhiệm- giả vờ, giả bộ, làm ra vẻ- có hình dạng, thành hình- dùng, ưa dùng, thích- thích ăn mặc quần áo hào nhoáng- (từ cổ,nghĩa cổ) yêu dấu, âu yếm- (tâm lý học) sự xúc động
affectation	- sự điệu bộ, sự màu mè, sự không tự nhiên- sự giả vờ, sự giả bô, sự làm ra vẻ- (từ hiếm,nghĩa hiếm) sự bổ nhiệm, sự sử dụng (vào một việc gì)
affected	- (+ to,  towards) có ý (tốt, xấu... đối với ai)- xúc động- bị mắc, bị nhiễm (bệnh...)- giả tạo, điệu bộ, màu mè, không tự nhiên
affectedly	- giả tạo, điệu bộ, màu mè, không tự nhiên
affecting	- làm xúc động, làm cảm động, làm mủi lòng
affection	- sự làm ảnh hưởng đến, sự làm tác động đến- tình cảm, cảm xúc- ((thường) + towards,  for) lòng yêu thương, sự yêu mến, tình cảm, thiện ý- bệnh tật, bệnh hoạn- affection towards khuynh hướng, thiện ý về- tính chất, thuộc tính- trạng thái cơ thể (do bị một cái gì tác động vào...)- lối sống
affectionate	- thương yêu, yêu mến, âu yếm; trìu mến
affectionateness	- tính hay thương yêu, tính thương mến; tính trìu mến
affective	- xúc động, dễ xúc động
affectivity	- tính dễ xúc động
afferent	- (sinh vật học) hướng vào, dẫn vào, hướng tâm
affettuoso	- (âm nhạc) âu yếm
affiance	- (+ in,  on) sự tin, sự tín nhiệm- lễ ăn hỏi, lễ đính hôn- (thường) dạng bị động đính hôn, hứa hôn
affidavit	- (pháp lý) bản khai có tuyên thệ- (thông tục) làm một bản khai có tuyên thệ
affiliate	- nhận làm chi nhánh, nhận làm hội viên- (+ to,  with) nhập, liên kết (tổ chức này vào một tổ chức khác)- (pháp lý) xác định tư cách làm bố (một đứa con hoang để có trách nhiệm nuôi)- xác định tư cách tác giả (của một tác phẩm)- tìm nguồn gốc (ngôn ngữ)
affiliation	- sự nhập hội, sự nhập đoàn- sự sáp nhập, sự nhập vào, sự liên kết- (pháp lý) sự xác định tư cách làm bố (một đứa con hoang để có trách nhiệm nuôi)- sự xác định tư cách tác giả (của một tác phẩm)- sự tìm nguồn gốc (ngôn ngữ)
affinage	- (kỹ thuật) sự tinh luyện, sự tinh chế
affined	- có quan hệ họ hàng
affinity	- mối quan hệ, sự giống nhau về cấu trúc (giữa các loài vật, cây cỏ, ngôn ngữ)- sự giống nhau về tính tình- quan hệ thân thuộc với họ nhà vợ, quan hệ thân thuộc với họ nhà chồng- sự thu hút, sự hấp dẫn, sự lôi cuốn; sự đồng cảm- sự ham thích- (hoá học) ái lực
affirm	- khẳng định, xác nhận; quả quyết- (pháp lý) xác nhân, phê chuẩn
affirmation	- sự khẳng định, sự xác nhận; sự quả quyết- lời khẳng định, lời xác nhận; lời quả quyết- (pháp lý) sự xác nhận; sự phê chuẩn
affirmative	- khẳng định; quả quyết- lời khẳng định; lời nói "ừ" , lời nói "được" 
affix	- sự thêm vào; phần thêm vào- (ngôn ngữ học) phụ tổ- affix to,  on,  upon) đóng chặt vào, gắn vào, đính vào- đóng (dấu); dán (tem); ký (tên...)
affixture	- sự đóng chặt vào, sự gắn vào, sự đính vào
afflatus	- cảm hứng- linh cảm
afflict	- làm đau đớn, làm đau buồn, làm ưu phiền, làm khổ sở
affliction	- nỗi đau đớn, nỗi đau buồn, nỗi ưu phiền, nỗi khổ sở- tai ách, tai hoạ, hoạn nạn
afflictive	- làm đau đớn, làm đau buồn, làm ưu phiền, làm khổ sở- mang tai hoạ, mang hoạn nạn
affluence	- sự tụ họp đông (người)- sự giàu có, sự sung túc, sự phong phú, sự dồi dào
affluent	- nhiều, dồi dào, phong phú- giàu có- sông nhánh
afflux	- sự đổ dồn (về một nơi); sự chảy dồn, sự chảy tụ lại
afford	- có thể, có đủ sức, có đủ khả năng, có đủ điều kiện (để làm gì)- cho, tạo cho, cấp cho, ban cho
afforest	- trồng cây gây rừng; biến thành rừng- (sử học) biến thành khu vực săn bắn
afforestation	- sự trồng cây gây rừng; sự biến thành rừng- (sử học) sự biến thành khu vực săn bắn
afforestment	- sự trồng cây gây rừng; sự biến thành rừng- (sử học) sự biến thành khu vực săn bắn
affranchise	- giải phóng
affranchisement	- sự giải phóng
affray	- sự huyên náo; cuộc ẩu đả, cuộc cãi lộn (ở nơi công cộng)
affreightment	- (hàng hải) sự thuê tàu, chở hàng
affricate	- (ngôn ngữ học) âm tắc xát
affright	- (thơ ca); (từ cổ,nghĩa cổ) sự khiếp sợ, sự hoảng sợ, sự khiếp đảm- nỗi kinh hãi- (thơ ca); (từ cổ,nghĩa cổ) làm khiếp sợ, làm hoảng sợ, làm khiếp đảm
affront	- sự lăng mạ, sự lăng nhục, sự sỉ nhục- lăng mạ, lăng nhục, sỉ nhục- làm nhục, làm xấu hổ, làm mất thể diện- đương đầu
affusion	- sự rảy nước, sự giội nước (khắp người để làm lễ rửa tội)- (y học) sự giội nước (cho người sốt); phép chữa giội nước
afghan	- người Ap-ga-ni-xtăng- tiếng Ap-ga-ni-xtăng- afghan (từ Mỹ,nghĩa Mỹ) khăn phủ giường bằng len đan
afield	- ở ngoài đồng, ở ngoài ruộng; ra đồng, ra ruộng- xa; ở xa- xa nhà ((thường) far afield)- (quân sự) ở ngoài mặt trận
afire	- cháy, bừng bừng, rực cháy (nghĩa đen) & (nghĩa bóng)
aflame	- cháy, rực cháy, rực lửa ((nghĩa đen) & (nghĩa bóng)), bốc lửa
afloat	- nổi lênh đênh (trên mặt nước), lơ lửng (trên) không)- trên biển, trên tàu thuỷ- ngập nước- lan truyền đi (tin đồn)- thịnh vượng, hoạt động sôi nổi- hết nợ, sạch mợ, không mắc nợ ai- đang lưu hành- không ổn định, trôi nổi
afoot	- đi bộ, đi chân- đang tiến hành, đang làm- trở dậy; hoạt động
afore	- (hàng hải) ở phía trước, ở đằng trước- (từ cổ,nghĩa cổ) trước đây, trước kia
aforecited	- đã dẫn
aforegoing	- xảy ra trước đây
